date,quantity,price
2024-01-01,12,1250.50
2024-01-02,68,1245.75
2024-01-03,72,1238.25
2024-01-04,65,1242.00
2024-01-05,78,1255.80
2024-01-06,145,1235.40
2024-01-07,132,1248.60
2024-01-08,45,1252.90
2024-01-09,58,1239.30
2024-01-10,63,1246.70
2024-01-11,71,1232.45
2024-01-12,82,1258.85
2024-01-13,158,1241.55
2024-01-14,142,1243.65
2024-01-15,52,1236.35
2024-01-16,75,1262.95
2024-01-17,48,1230.15
2024-01-18,67,1256.75
2024-01-19,73,1234.25
2024-01-20,152,1247.45
2024-01-21,138,1237.85
2024-01-22,69,1253.15
2024-01-23,76,1231.95
2024-01-24,42,1259.25
2024-01-25,56,1238.65
2024-01-26,64,1245.35
2024-01-27,78,1239.75
2024-01-28,148,1246.45
2024-01-29,82,1233.85
2024-01-30,88,1257.15
2024-01-31,38,1242.95
2024-02-01,15,1241.25
2024-02-02,62,1256.65
2024-02-03,68,1232.35
2024-02-04,72,1253.75
2024-02-05,55,1237.45
2024-02-06,75,1244.85
2024-02-07,82,1238.15
2024-02-08,142,1249.95
2024-02-09,78,1231.25
2024-02-10,95,1261.65
2024-02-11,35,1239.35
2024-02-12,65,1245.75
2024-02-13,72,1239.45
2024-02-14,155,1248.85
2024-02-15,88,1233.15
2024-02-16,42,1259.95
2024-02-17,58,1242.25
2024-02-18,75,1241.65
2024-02-19,82,1257.35
2024-02-20,68,1234.75
2024-02-21,72,1252.45
2024-02-22,78,1237.85
2024-02-23,48,1243.15
2024-02-24,55,1238.95
2024-02-25,82,1249.25
2024-02-26,88,1232.65
2024-02-27,95,1260.35
2024-02-28,38,1239.75
2024-02-29,65,1245.45
2024-03-01,18,1239.85
2024-03-02,75,1248.15
2024-03-03,82,1234.95
2024-03-04,88,1258.25
2024-03-05,92,1238.50
2024-03-06,52,1245.75
2024-03-07,58,1239.25
2024-03-08,72,1252.80
2024-03-09,78,1233.40
2024-03-10,142,1260.60
2024-03-11,82,1241.90
2024-03-12,68,1237.30
2024-03-13,55,1254.70
2024-03-14,72,1232.45
2024-03-15,152,1256.85
2024-03-16,42,1243.55
2024-03-17,65,1238.65
2024-03-18,75,1249.35
2024-03-19,88,1231.95
2024-03-20,95,1261.25
2024-03-21,78,1239.65
2024-03-22,82,1245.35
2024-03-23,48,1239.75
2024-03-24,68,1248.45
2024-03-25,92,1234.85
2024-03-26,38,1257.15
2024-03-27,58,1242.95
2024-03-28,72,1241.25
2024-03-29,82,1256.65
2024-03-30,75,1232.35
2024-03-31,78,1253.75
2024-04-01,22,1237.45
2024-04-02,68,1244.85
2024-04-03,72,1238.15
2024-04-04,142,1249.95
2024-04-05,78,1231.25
2024-04-06,95,1261.65
2024-04-07,155,1239.35
2024-04-08,82,1245.75
2024-04-09,72,1239.45
2024-04-10,75,1248.85
2024-04-11,88,1233.15
2024-04-12,65,1259.95
2024-04-13,72,1242.25
2024-04-14,162,1241.65
2024-04-15,82,1257.35
2024-04-16,55,1234.75
2024-04-17,68,1252.45
2024-04-18,78,1237.85
2024-04-19,95,1243.15
2024-04-20,82,1238.95
2024-04-21,88,1249.25
2024-04-22,58,1232.65
2024-04-23,72,1260.35
2024-04-24,152,1239.75
2024-04-25,42,1245.45
2024-04-26,65,1239.85
2024-04-27,75,1248.15
2024-04-28,88,1234.95
2024-04-29,82,1258.25
2024-04-30,78,1242.65
2024-05-01,25,1241.35
2024-05-02,75,1257.75
2024-05-03,82,1233.45
2024-05-04,162,1252.85
2024-05-05,88,1237.15
2024-05-06,95,1244.95
2024-05-07,78,1238.25
2024-05-08,88,1249.65
2024-05-09,68,1231.35
2024-05-10,72,1260.75
2024-05-11,82,1239.45
2024-05-12,142,1245.85
2024-05-13,75,1239.15
2024-05-14,168,1248.95
2024-05-15,88,1233.25
2024-05-16,65,1259.65
2024-05-17,72,1242.35
2024-05-18,92,1241.75
2024-05-19,78,1257.45
2024-05-20,82,1234.85
2024-05-21,95,1252.15
2024-05-22,58,1237.95
2024-05-23,68,1243.25
2024-05-24,152,1238.65
2024-05-25,42,1249.35
2024-05-26,65,1231.75
2024-05-27,75,1260.45
2024-05-28,88,1239.85
2024-05-29,78,1245.15
2024-05-30,82,1239.95
2024-05-31,85,1248.25
2024-06-01,28,1233.65
2024-06-02,75,1259.35
2024-06-03,142,1242.75
2024-06-04,78,1241.45
2024-06-05,88,1257.85
2024-06-06,72,1233.15
2024-06-07,95,1252.95
2024-06-08,75,1237.25
2024-06-09,82,1243.65
2024-06-10,88,1238.35
2024-06-11,65,1249.75
2024-06-12,72,1231.45
2024-06-13,162,1260.85
2024-06-14,85,1239.15
2024-06-15,92,1245.95
2024-06-16,78,1239.25
2024-06-17,88,1248.65
2024-06-18,68,1233.35
2024-06-19,72,1259.75
2024-06-20,82,1242.45
2024-06-21,58,1241.85
2024-06-22,75,1257.15
2024-06-23,152,1233.95
