date,quantity,price,total_sales
2024-01-01,15.5,65.00,1007.50
2024-01-02,16.2,64.50,1044.90
2024-01-03,16.8,66.20,1112.16
2024-01-04,17.3,67.80,1173.94
2024-01-05,17.9,69.50,1244.05
2024-01-06,18.4,70.20,1291.68
2024-01-07,18.8,72.80,1368.64
2024-01-08,19.2,73.50,1411.20
2024-01-09,19.6,75.30,1475.88
2024-01-10,20.0,76.00,1520.00
2024-01-11,20.3,77.50,1573.25
2024-01-12,20.7,78.20,1618.74
2024-01-13,21.0,79.60,1671.60
2024-01-14,21.4,81.00,1733.40
2024-01-15,21.8,82.50,1798.50
2024-01-16,22.0,83.20,1830.40
2024-01-17,22.2,84.70,1880.34
2024-01-18,22.5,85.50,1923.75
2024-01-19,22.8,86.80,1979.04
2024-01-20,23.0,87.30,2007.90
2024-01-21,23.2,88.50,2053.20
2024-01-22,23.5,89.20,2096.20
2024-01-23,23.7,90.10,2135.37
2024-01-24,24.0,91.50,2196.00
2024-01-25,24.2,92.20,2231.24
2024-01-26,24.5,93.80,2298.10
2024-01-27,24.8,94.60,2346.08
2024-01-28,25.0,95.20,2380.00
2024-01-29,25.2,96.50,2431.80
2024-01-30,25.5,97.30,2481.15
2024-01-31,25.8,98.60,2543.88
2024-02-01,26.0,99.20,2579.20
2024-02-02,26.2,100.50,2633.10
2024-02-03,26.5,101.30,2684.45
2024-02-04,26.8,102.80,2755.04
2024-02-05,27.0,103.50,2794.50
2024-02-06,27.2,104.20,2834.24
2024-02-07,27.5,105.70,2906.75
2024-02-08,27.8,106.40,2957.92
2024-02-09,28.0,107.00,2996.00
