date,quantity,price,total_sales
2024-01-01,19.4,64.73,1257.94
2024-01-02,18.1,67.35,1218.94
2024-01-03,16.8,70.20,1178.16
2024-01-04,15.5,73.15,1133.83
2024-01-05,14.2,76.30,1083.86
2024-01-06,13.0,79.55,1034.15
2024-01-07,11.8,82.90,978.22
2024-01-08,10.6,86.45,916.37
2024-01-09,9.5,90.10,855.95
2024-01-10,8.5,93.85,797.73
2024-01-11,7.6,97.70,742.52
2024-01-12,6.8,101.65,691.22
2024-01-13,6.1,105.70,644.77
2024-01-14,5.5,109.85,604.18
2024-01-15,5.0,114.10,570.50
2024-01-16,4.6,118.45,544.87
2024-01-17,4.3,122.90,528.47
2024-01-18,4.1,127.45,522.55
2024-01-19,4.0,132.10,528.40
2024-01-20,4.0,136.85,547.40
2024-01-21,4.1,141.70,580.97
2024-01-22,4.3,146.65,630.60
2024-01-23,4.6,151.70,697.82
2024-01-24,5.0,156.85,784.25
2024-01-25,5.5,162.10,891.55
2024-01-26,6.1,167.45,1021.45
2024-01-27,6.8,172.90,1175.72
2024-01-28,7.6,178.45,1356.22
2024-01-29,8.5,184.10,1564.85
2024-01-30,9.5,189.85,1803.58
2024-01-31,10.6,195.70,2074.42
2024-02-01,11.8,201.65,2379.47
2024-02-02,13.0,207.70,2700.10
2024-02-03,14.2,213.85,3036.67
2024-02-04,15.5,220.10,3411.55
2024-02-05,16.8,226.45,3804.36
2024-02-06,18.1,232.90,4215.49
2024-02-07,19.4,239.45,4645.33
2024-02-08,20.7,246.10,5094.27
2024-02-09,22.0,252.85,5562.70
