date,quantity,price
02/01/2016,1.0,3.13
02/01/2016,1.0,5.46
02/01/2016,1.0,6.35
02/01/2016,1.0,5.59
02/01/2016,1.0,6.88
02/01/2016,1.0,10.77
02/01/2016,1.0,3.65
02/01/2016,1.0,8.21
02/01/2016,1.0,8.25
02/01/2016,1.0,8.18
02/01/2016,1.0,6.35
02/01/2016,1.0,2.11
02/01/2016,1.0,5.38
02/01/2016,1.0,8.04
02/01/2016,1.0,3.62
02/01/2016,1.0,3.96
02/01/2016,1.0,11.65
02/01/2016,1.0,9.0
02/01/2016,1.0,7.02
02/01/2016,1.0,16.91
02/01/2016,2.0,4.75
02/01/2016,1.0,7.85
02/01/2016,1.0,12.87
02/01/2016,1.0,1.62
02/01/2016,1.0,10.5
02/01/2016,1.0,3.75
02/01/2016,1.0,2.91
02/01/2016,1.0,7.9
02/01/2016,1.0,9.06
02/01/2016,1.0,22.25
02/01/2016,1.0,7.02
02/01/2016,1.0,7.29
02/01/2016,1.0,5.87
02/01/2016,1.0,8.65
02/01/2016,1.0,13.1
02/01/2016,1.0,3.62
02/01/2016,1.0,2.31
02/01/2016,1.0,23.61
02/01/2016,1.0,7.02
02/01/2016,1.0,10.02
02/01/2016,1.0,6.69
02/01/2016,1.0,4.91
02/01/2016,2.0,4.23
02/01/2016,1.0,6.63
02/01/2016,1.0,2.13
02/01/2016,1.0,5.12
02/01/2016,1.0,5.38
02/01/2016,1.0,1.5
02/01/2016,2.0,2.13
02/01/2016,1.0,3.63
02/01/2016,1.0,2.0
02/01/2016,1.0,6.35
02/01/2016,1.0,7.57
02/01/2016,1.0,4.57
02/01/2016,1.0,2.86
02/01/2016,1.0,8.62
02/01/2016,1.0,1.98
02/01/2016,1.0,6.35
02/01/2016,1.0,4.43
02/01/2016,1.0,5.32
02/01/2016,1.0,26.57
02/01/2016,1.0,6.9
02/01/2016,1.0,18.63
02/01/2016,1.0,6.4
02/01/2016,1.0,1.71
02/01/2016,1.0,2.86
02/01/2016,1.0,4.23
02/01/2016,1.0,2.31
02/01/2016,1.0,5.73
02/01/2016,1.0,6.62
02/01/2016,1.0,30.0
02/01/2016,1.0,7.32
02/01/2016,1.0,15.83
02/01/2016,1.0,5.79
02/01/2016,3.0,15.18
02/01/2016,1.0,10.3
02/01/2016,1.0,12.4
02/01/2016,1.0,2.86
02/01/2016,1.0,4.23
02/01/2016,1.0,14.43
02/01/2016,1.0,6.88
02/01/2016,1.0,7.23
02/01/2016,1.0,4.43
02/01/2016,1.0,16.12
02/01/2016,1.0,5.73
02/01/2016,1.0,4.19
02/01/2016,1.0,5.66
02/01/2016,1.0,2.11
02/01/2016,1.0,9.38
02/01/2016,1.0,4.94
02/01/2016,1.0,4.5
02/01/2016,1.0,5.59
02/01/2016,1.0,5.37
02/01/2016,2.0,8.73
02/01/2016,3.0,8.14
02/01/2016,1.0,1.89
02/01/2016,1.0,6.4
02/01/2016,1.0,10.57
02/01/2016,1.0,8.6
02/01/2016,2.0,17.17
02/01/2016,1.0,9.07
02/01/2016,1.0,4.09
02/01/2016,1.0,1.58
02/01/2016,1.0,16.12
02/01/2016,1.0,3.41
02/01/2016,1.0,4.43
02/01/2016,1.0,7.17
02/01/2016,2.0,11.18
02/01/2016,1.0,2.78
02/01/2016,1.0,4.23
02/01/2016,1.0,2.11
02/01/2016,1.0,7.02
02/01/2016,1.0,6.75
02/01/2016,1.0,1.06
02/01/2016,1.0,8.25
02/01/2016,1.0,9.62
02/01/2016,1.0,8.18
02/01/2016,1.0,11.32
02/01/2016,1.0,3.7
02/01/2016,1.0,6.0
02/01/2016,1.0,3.41
02/01/2016,1.0,2.43
02/01/2016,1.0,3.63
02/01/2016,1.0,4.91
02/01/2016,1.0,6.0
02/01/2016,0.67,118.35
02/01/2016,1.0,3.9
02/01/2016,1.0,4.0
02/01/2016,4.0,33.6
02/01/2016,2.0,5.37
02/01/2016,2.0,11.02
02/01/2016,2.0,22.26
02/01/2016,2.0,12.36
02/01/2016,2.0,12.27
02/01/2016,2.0,14.4
02/01/2016,1.0,2.92
02/01/2016,1.0,6.0
02/01/2016,1.0,12.33
02/01/2016,1.0,8.32
02/01/2016,1.0,5.59
02/01/2016,1.0,3.54
02/01/2016,1.0,18.32
02/01/2016,1.0,19.63
02/01/2016,1.0,1.84
02/01/2016,2.0,15.75
02/01/2016,1.0,24.93
02/01/2016,1.0,34.06
02/01/2016,1.0,5.73
02/01/2016,1.0,4.98
02/01/2016,2.0,11.18
02/01/2016,1.0,1.53
02/01/2016,1.0,4.57
02/01/2016,1.0,19.0
02/01/2016,1.0,1.02
02/01/2016,2.0,8.16
02/01/2016,1.0,1.38
