date,quantity,price
01/02/2016,482.75,4341.46
01/03/2016,497.0,4436.42
01/04/2016,553.0,4637.34
01/05/2016,217.0,1514.17
01/06/2016,572.66,4750.01
01/07/2016,566.0,5556.63
01/08/2016,583.5,4521.47
01/09/2016,268.34,2210.77
01/10/2016,319.0,2769.47
01/11/2016,237.0,2114.67
01/12/2016,722.66,5852.45
02/01/2016,264.67,1929.55
02/02/2016,694.84,4285.86
02/03/2016,520.0,4790.12
02/04/2016,472.33,3226.05
02/05/2016,661.26,5498.54
02/06/2016,596.33,5723.94
02/07/2016,313.0,2579.9
02/08/2016,426.33,3998.68
02/09/2016,664.66,4942.44
02/10/2016,147.1,963.61
02/11/2016,588.67,4810.55
02/12/2016,751.76,5984.35
03/01/2016,121.0,798.15
03/02/2016,472.0,5320.96
03/03/2016,636.32,4804.25
03/04/2016,258.59000000000003,1717.21
03/05/2016,626.33,5672.45
03/06/2016,563.0,5984.56
03/07/2016,193.0,1573.77
03/08/2016,493.0,4481.43
03/09/2016,311.0,1732.67
03/10/2016,626.87,6622.43
03/11/2016,656.34,5439.22
03/12/2016,441.0,3622.46
04/01/2016,530.0,3273.27
04/02/2016,644.83,6529.56
04/03/2016,461.75,4135.14
04/04/2016,710.67,6513.0
04/05/2016,645.0,5372.4
04/06/2016,317.866,2637.77
04/07/2016,696.0,5458.27
04/08/2016,534.0,5164.34
04/09/2016,186.0,1316.03
04/10/2016,593.0,3885.18
04/11/2016,662.0,5323.25
04/12/2016,323.0,1784.75
05/01/2016,590.34,4919.03
05/02/2016,590.0,4970.51
05/03/2016,444.58,3271.68
05/04/2016,672.5,5661.63
05/05/2016,601.17,5294.85
05/06/2016,274.0,1731.59
05/07/2016,256.5,2256.29
05/08/2016,500.0,4424.87
05/09/2016,486.67,4748.26
05/10/2016,740.2,7211.61
05/11/2016,310.33,2321.15
05/12/2016,689.25,6044.4
06/01/2016,205.5,1559.72
06/02/2016,358.33,3178.86
06/03/2016,175.0,1399.39
06/04/2016,541.84,5546.41
06/05/2016,822.0,5172.7
06/06/2016,559.33,4025.85
06/07/2016,640.0,4947.58
06/08/2016,230.0,1911.43
06/09/2016,564.0,5498.36
06/10/2016,731.97,5816.76
06/11/2016,254.1,2027.3600000000001
06/12/2016,697.0,5791.02
07/01/2016,569.44,3477.91
07/02/2016,238.91,1869.56
07/03/2016,434.67,3156.59
07/04/2016,626.9,5758.05
07/05/2016,469.0,2797.43
07/06/2016,705.5,5910.76
07/07/2016,577.0,5043.54
07/08/2016,183.91,1397.83
07/09/2016,987.25,4614.24
07/10/2016,796.0,7426.26
07/11/2016,554.33,3955.86
07/12/2016,702.66,6167.6
08/01/2016,789.83,4700.35
08/02/2016,748.0,4640.26
08/03/2016,643.17,5129.89
08/04/2016,773.62,6741.02
08/05/2016,172.0,1310.03
08/06/2016,698.0,6055.58
08/07/2016,836.0,6414.13
08/08/2016,414.7,3274.66
08/09/2016,658.83,5206.4
08/10/2016,419.0,3133.94
08/11/2016,680.67,5458.91
08/12/2016,817.0,7181.79
09/01/2016,327.0,2907.21
09/02/2016,576.64,3671.48
09/03/2016,621.83,5479.57
09/04/2016,458.0,2988.26
09/05/2016,746.997,5766.8
09/06/2016,682.0,5243.55
09/07/2016,304.0,2167.29
09/08/2016,440.5,4320.7
09/09/2016,746.33,7142.87
09/10/2016,390.0,2057.68
09/11/2016,608.1,6244.75
09/12/2016,932.0,7039.4
10/01/2016,311.0,1544.16
10/02/2016,432.67,3281.81
10/03/2016,762.0,5182.41
10/04/2016,280.0,1464.55
10/05/2016,565.0,5321.71
10/06/2016,775.0,6389.95
10/07/2016,272.5,1863.57
10/08/2016,456.0,3917.9
10/09/2016,369.0,3504.49
10/10/2016,624.1,5085.1
10/11/2016,707.33,6336.68
10/12/2016,728.66,4825.86
11/01/2016,662.08,5038.52
11/02/2016,684.67,5551.99
11/03/2016,551.83,4842.16
11/04/2016,735.67,6350.82
11/05/2016,527.5,3967.92
11/06/2016,370.34,2651.15
11/07/2016,590.33,4228.33
11/08/2016,509.0,4821.56
11/09/2016,240.0,1681.54
11/10/2016,555.33,4786.57
11/11/2016,549.2,5379.62
11/12/2016,330.0,3014.65
12/01/2016,894.67,6473.16
12/02/2016,815.0,6200.6
12/03/2016,333.0,2840.83
12/04/2016,602.0,4437.29
12/05/2016,795.2,5731.53
12/06/2016,229.0,2308.75
12/07/2016,669.0,5969.55
12/08/2016,656.34,5781.12
12/09/2016,508.0,5394.2
12/10/2016,712.5,5510.72
12/11/2016,403.0,4766.74
12/12/2016,750.67,6002.08
13/01/2016,820.33,5232.63
13/02/2016,603.16,4125.36
13/03/2016,308.0,1929.76
13/04/2016,675.0,5367.53
13/05/2016,938.0,7897.7
13/06/2016,625.34,5381.36
13/07/2016,540.34,5596.42
13/08/2016,348.33,2831.62
13/09/2016,842.33,6498.91
13/10/2016,741.01,4582.46
13/11/2016,300.0,2073.47
13/12/2016,842.66,6040.43
14/01/2016,910.0,5931.39
14/02/2016,250.0,1835.75
14/03/2016,694.0,6139.44
14/04/2016,728.33,7171.54
14/05/2016,455.83,3370.63
14/06/2016,508.0,4298.45
14/07/2016,875.0,6564.36
14/08/2016,206.0,1725.29
14/09/2016,809.0,5934.23
14/10/2016,723.25,6627.58
14/11/2016,630.93,5517.92
14/12/2016,767.66,7490.41
15/01/2016,714.0,5808.44
15/02/2016,432.0,3850.56
15/03/2016,620.33,5441.94
15/04/2016,665.5,5157.71
15/05/2016,281.0,2043.29
15/06/2016,710.2,4954.07
15/07/2016,677.68,5186.07
15/08/2016,480.33,3936.84
15/09/2016,349.33,2685.96
15/10/2016,360.5,3939.6
15/11/2016,864.0,5628.04
15/12/2016,826.34,6915.99
16/01/2016,324.0,2840.56
